"","simu","n_obs","mutation_rate","c","initial_trait_frequency","male_trait_first","male_trait_last","female_choice_first","female_choice_last","female_preference_last","mean_nb_meetings","nb_meetings_1","nb_matings_1","nb_females_meeting_1"
"137",137,0,0,1,0.00892857142857143,0.008982306649,0.008809191552,0.008676432803,0.4248257055,0.4999693226,53.368690705,90.271,89.324,90.26
"138",138,1,0,1,0.00892857142857143,0.008803871558,0.008691401197,0.009120570969,0.007883868673,0.00909447672,2.04621539,3.509,1.679,3.493
"139",139,5,0,1,0.00892857142857143,0.008881949618,0.008848462594,0.009147524978,2.0655261e-05,2.2500903e-05,1.010686979,1.935,0.004,1.905
"140",140,10,0,1,0.00892857142857143,0.008735483912,0.008755403332,0.008683411875,0,0,1.008887576,1.893,0,1.869
"141",141,15,0,1,0.00892857142857143,0.008821453875,0.008923887457,0.009051712862,0,0,1.009061151,1.936,0,1.901
"142",142,20,0,1,0.00892857142857143,0.008824307605,0.008979699103,0.009049165605,0,0,1.008935908,1.907,0,1.883
"143",143,25,0,1,0.00892857142857143,0.009157987447,0.009135276926,0.009492260327,0,0,1.009261145,1.972,0,1.948
"144",144,30,0,1,0.00892857142857143,0.008810959581,0.008946163821,0.008783413477,0,0,1.009243177,1.968,0,1.941
"145",145,0,0,0.5,0.0133928571428571,0.013278046116,0.013299276144,0.013189062033,0.013154358369,0.4993952987,2.005939058,5.731,2.814,5.615
"146",146,1,0,0.5,0.0133928571428571,0.013362068698,0.013458178093,0.013008053559,0.013736435083,0.013073355311,2.002085862,5.77,2.928,5.673
"147",147,5,0,0.5,0.0133928571428571,0.01342729544,0.013309237628,0.013658335097,0.013682164572,7.6392318e-05,2.003819545,5.796,2.896,5.694
"148",148,10,0,0.5,0.0133928571428571,0.013637803809,0.013474078882,0.013548448093,0.013906548893,4.464286e-06,2.004491414,5.871,2.951,5.746
"149",149,15,0,0.5,0.0133928571428571,0.013492200715,0.013236688646,0.012933759395,0.013987514674,0,1.994665247,5.921,2.979,5.808
"150",150,20,0,0.5,0.0133928571428571,0.013307092424,0.013013052087,0.013331340111,0.013343082762,0,1.998792819,5.669,2.835,5.572
"151",151,25,0,0.5,0.0133928571428571,0.013368260754,0.013481806926,0.013561803443,0.012973914301,0,1.998846748,5.585,2.761,5.481
"152",152,30,0,0.5,0.0133928571428571,0.013361671078,0.01331938141,0.013451784061,0.013129701223,0,2.000431951,5.579,2.795,5.496
"153",153,0,0,0.6,0.0133928571428571,0.013240631439,0.013262190144,0.013017085421,0.014582096258,0.5013668991,2.083053342,5.922,3.108,5.805
"154",154,1,0,0.6,0.0133928571428571,0.013419665034,0.01363850212,0.013889433545,0.009160005125,0.013710463483,1.68237395,4.803,1.952,4.721
"155",155,5,0,0.6,0.0133928571428571,0.013337598133,0.013254108852,0.013002705182,0.009211620267,2.5065114e-05,1.675031718,4.849,1.962,4.76
"156",156,10,0,0.6,0.0133928571428571,0.013554280753,0.013192390324,0.013382819822,0.009044346015,0,1.67763825,4.847,1.929,4.754
"157",157,15,0,0.6,0.0133928571428571,0.013289644169,0.013259532658,0.013222428849,0.008768877128,0,1.672737047,4.748,1.865,4.661
"158",158,20,0,0.6,0.0133928571428571,0.013362956134,0.013385808462,0.013475697521,0.009362717375,0,1.674702161,4.816,1.982,4.742
"159",159,25,0,0.6,0.0133928571428571,0.013510147628,0.01367601371,0.013127700358,0.00927534893,0,1.671742008,4.922,1.98,4.834
"160",160,30,0,0.6,0.0133928571428571,0.01353504019,0.013608676102,0.013691401359,0.008992073683,0,1.673669849,4.731,1.912,4.659
"161",161,0,0,0.7,0.0133928571428571,0.013279585452,0.013436483026,0.013465277401,0.018124169222,0.5006592334,2.362623815,6.685,3.87,6.575
"162",162,1,0,0.7,0.0133928571428571,0.013192681496,0.013426274829,0.013159960129,0.00634934168,0.012659396637,1.465709865,4.197,1.353,4.12
"163",163,5,0,0.7,0.0133928571428571,0.013309794875,0.013510398462,0.013336254963,0.00578404336,4.1852238e-05,1.440009075,4.028,1.234,3.977
"164",164,10,0,0.7,0.0133928571428571,0.013236420081,0.013318097926,0.012737002464,0.005987594413,0,1.442418343,4.216,1.287,4.15
"165",165,15,0,0.7,0.0133928571428571,0.013235203777,0.013255125263,0.013137631552,0.00553455905,0,1.438706028,4.005,1.177,3.938
