;simu;n_obs;mutation_rate;c;n_matings;replicate;last_time_step;mean_choice_last_step;n_repro_last_step;mean_demos;mean_n_obs;tradition_duration;tradition_for_trait
304;4;7;1;0.5;2;4;101;0.4881517;246;224.5347;7;0;0
305;4;7;1;0.5;2;5;107;0.5070423;252;223.7477;7;6;1
306;4;7;1;0.5;2;6;101;0.4572864;211;226.1782;7;0;0
307;4;7;1;0.5;2;7;103;0.5151515;212;222.6699;7;2;1
308;4;7;1;0.5;2;8;102;0.5580524;194;223.7255;7;1;1
309;4;7;1;0.5;2;9;102;0.4626866;226;222.598;7;1;0
310;4;7;1;0.5;2;10;103;0.4608696;233;226.3981;7;2;0
311;4;7;1;0.5;2;11;101;0.4504505;233;225.3267;7;0;0
312;4;7;1;0.5;2;12;101;0.5352113;260;225.5347;7;0;1
313;4;7;1;0.5;2;13;104;0.5732759;221;223.2596;7;3;1
314;4;7;1;0.5;2;14;101;0.5818182;226;224.6139;7;0;1
315;4;7;1;0.5;2;15;101;0.487395;217;225.901;7;0;0
316;4;7;1;0.5;2;16;102;0.440678;213;222.4118;7;1;0
317;4;7;1;0.5;2;17;101;0.5043103;230;220.8119;7;0;1
318;4;7;1;0.5;2;18;103;0.4929577;241;223.7573;7;2;0
319;4;7;1;0.5;2;19;102;0.4857143;236;223.8627;7;1;0
320;4;7;1;0.5;2;20;101;0.4732143;247;222.5248;7;0;0
321;4;7;1;0.5;2;21;102;0.4608295;224;223.0098;7;1;0
322;4;7;1;0.5;2;22;101;0.5189873;214;221.9802;7;0;1
323;4;7;1;0.5;2;23;102;0.4808511;215;223.5;7;1;0
324;4;7;1;0.5;2;24;101;0.5596708;202;222.7426;7;0;1
325;4;7;1;0.5;2;25;102;0.4018265;244;223.4314;7;1;0
326;4;7;1;0.5;2;26;103;0.4803922;228;224.1068;7;2;0
327;4;7;1;0.5;2;27;102;0.5405405;222;222.6667;7;1;1
328;4;7;1;0.5;2;28;102;0.4347826;234;222.4216;7;1;0
329;4;7;1;0.5;2;29;101;0.5787234;236;224.4554;7;0;1
330;4;7;1;0.5;2;30;103;0.4891775;211;223.767;7;2;0
331;4;7;1;0.5;2;31;102;0.5555556;224;222.9804;7;1;1
332;4;7;1;0.5;2;32;103;0.4980695;224;224.0194;7;2;0
333;4;7;1;0.5;2;33;101;0.4935065;234;223.6238;7;0;0
334;4;7;1;0.5;2;34;102;0.5210084;208;223.6275;7;1;1
335;4;7;1;0.5;2;35;102;0.454955;239;224.1667;7;1;0
336;4;7;1;0.5;2;36;103;0.4936709;202;223.6602;7;2;0
337;4;7;1;0.5;2;37;104;0.5067873;229;223.7212;7;3;1
338;4;7;1;0.5;2;38;102;0.4527363;256;224.0882;7;1;0
339;4;7;1;0.5;2;39;102;0.5267857;216;224.549;7;1;1
340;4;7;1;0.5;2;40;101;0.479638;217;223.4158;7;0;0
341;4;7;1;0.5;2;41;101;0.4697674;217;222.9208;7;0;0
342;4;7;1;0.5;2;42;101;0.5458937;213;223.8416;7;0;1
343;4;7;1;0.5;2;43;101;0.5127119;217;222.901;7;0;1
344;4;7;1;0.5;2;44;101;0.4563107;241;222.8317;7;0;0
345;4;7;1;0.5;2;45;102;0.4604651;249;223.1569;7;1;0
346;4;7;1;0.5;2;46;101;0.4978355;231;226.396;7;0;0
347;4;7;1;0.5;2;47;102;0.485;244;223.3333;7;1;0
348;4;7;1;0.5;2;48;102;0.4444444;239;225.1078;7;1;0
349;4;7;1;0.5;2;49;103;0.495935;222;223.8738;7;2;0
350;4;7;1;0.5;2;50;101;0.4248705;230;222.802;7;0;0
351;4;7;1;0.5;2;51;105;0.4793388;222;223.7143;7;4;0
352;4;7;1;0.5;2;52;102;0.5108225;234;223.3137;7;1;1
353;4;7;1;0.5;2;53;101;0.4755556;225;221.4554;7;0;0
354;4;7;1;0.5;2;54;105;0.4521277;237;223.3714;7;4;0
355;4;7;1;0.5;2;55;102;0.5446809;248;223.6765;7;1;1
356;4;7;1;0.5;2;56;101;0.4589372;220;222.4851;7;0;0
357;4;7;1;0.5;2;57;102;0.5163934;214;223.2353;7;1;1
